"Subj","#","Title","CRN","Sec","Type","Start Time","End Time","Days","Credits","Building","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"KIN","806","Neurology","15043","01","LEC","11:10","12:30","TR","4","NHH","208","Moon, Sanghee","5","0","",""
"KIN","807","Neurology Lab","10418","01","LAB","11:10","13:00","M","2","SLS","215","Moon, Sanghee","2","0","",""
"KIN","807","Neurology Lab","10419","02","LAB","09:10","11:00","W","2","SLS","215","Moon, Sanghee","2","0","",""
"KIN","807","Neurology Lab","10653","04","LAB","09:10","11:00","M","2","SLS","215","Moon, Sanghee","2","0","",""
"KIN","807","Neurology Lab","13973","05","LAB","11:10","13:00","W","2","SLS","215","Moon, Sanghee","2","0","",""
"KIN","820","Science and Practice of Strength Training","11628","01","LEC","09:10","10:00","MWF","4","NHH","G37","Vellante, Aurora","5","0","",""
"KIN","835","Clinical Applications of Exercise Testing","15770","01","LEC","09:40","11:00","T","2","NHH","108","Vellante, Aurora","5","0","",""
"KIN","836","Fitness and Graded Exercise Test and Prescription","15766","01","LEC","08:10","09:30","T","2","PCBE","G75","Vellante, Aurora","5","0","",""
"KIN","841","Social Issues in Contemporary Sports","13015","01","LEC","11:10","12:30","TR","4","NHH","G10","Collins, Karen E","5","0","",""
"KIN","845","Adapted Physical Education Connecting Research to Practice","15768","01","LEC","09:10","12:00","R","4","PETT","109","Yun, JK","20","0","",""
"KIN","880","Psychological Factors in Sport","10005","01","LEC","11:10","12:30","MW","4","FH","125","Chase, Benjamin H","5","0","",""
"KIN","881","Introduction to Adapted Physical Education","14185","01","LEC","16:10","17:30","MW","4","NHH","G37","McNamara, Scott","5","0","",""
"KIN","894","Cardiopulmonary Pathologies","13989","01","LEC","10:10","11:00","MWF","4","NHH","G44","Brian, Kimberly F","10","0","",""
"KIN","895","Advanced Studies","13761","02","INV","Hours Arranged","TBA","TBA","2","TBA","","Min, Sophia","1","0","",""
"KIN","896","Advanced Research in Exercise Science","10341","01","RES","Hours Arranged","TBA","TBA","3","TBA","","Vellante, Aurora","10","0","",""
"KIN","950","Internship","14209","01","PRA","Hours Arranged","TBA","TBA","2","TBA","","Brian, Michael S","5","0","",""
"KIN","993","Teaching Practicum","15409","01","PRA","Hours Arranged","TBA","TBA","2","TBA","","Vellante, Aurora","5","0","",""
"LAP","502","Lifetime Activity Program: Pickleball","13036","01","LEC","09:40","11:00","TR","2","REC","310","Welch, Edward; Schwartz, Forrest","24","0","",""
"LAP","504","Lifetime Activity Program: Strength Training","13037","01","LEC","09:40","11:00","MW","2","REC","141","Schwartz, Forrest","18","0","",""
"LAP","505","Lifetime Activity Program: Intro to Running","13038","01","LEC","15:40","17:00","MW","2","PETT","109","Robertson, Paul; Schwartz, Forrest","20","0","",""
"LAP","506","Lifetime Activity Program: Fly Fishing","13039","01","LEC","14:10","17:00","F","2","NHH","G10","McKernan, John P; Schwartz, Forrest","10","0","",""
"LAP","507","Lifetime Activity Program: Yoga and Meditation","13040","01","LEC","09:40","11:00","TR","2","REC","141","Zitney, Dawn D; Schwartz, Forrest","24","0","",""
"LAP","508","Lifetime Activity Program: Vinyasa Flow Yoga","13041","01","LEC","09:40","11:00","MW","2","REC","146","Jenkins, Rebecca J; Schwartz, Forrest","24","0","",""
"LAP","509","Lifetime Activity Program: Standup Paddleboarding","15041","01","LEC","14:00","17:00","F","2","OFFCMP","TBD","Sawtell, Peter C.; Schwartz, Forrest","8","0","",""
"LAP","514","Lifetime Activity Program: Wilderness First Aid (WFA)","13042","01","LEC","13:10","17:00","R","2","OFFCMP","TBD","Hanley, Ian; Schwartz, Forrest","16","0","",""
"LAP","517","Lifetime Activity Program: Personal Training","13043","01","LEC","09:40","11:00","TR","2","REC","132","Rodgers, Margaret P; Schwartz, Forrest","20","0","",""
"LAP","520","Lifetime Activity Program: Well-Being","15034","01","LEC","09:40","11:00","TR","2","REC","107C","Zitney, Dawn D; Schwartz, Forrest","15","0","",""
"LATN","401","Elementary Latin I","10055","01","LEC","09:10","10:00","MWF","4","MURK","204","Davis, Samantha Catherine","24","0","",""
"LATN","401","Elementary Latin I","10056","02","LEC","11:10","12:00","MWF","4","MURK","104","Curry, Susan A.","24","0","",""
"LATN","503","Intermediate Latin I","10057","01","LEC","11:10","12:00","MWF","4","MURK","G01","Davis, Samantha Catherine","27","0","WC",""
"LATN","605","Readings in Latin Literature","13888","01","LEC","15:40","17:00","MW","4","MURK","G01","Aralere, Tejas Subramanya","8","0","",""
"LATN","753","Advanced Studies in the Literature of the Golden Age","15540","01","CLR","15:40","17:00","MW","4","MURK","G01","Aralere, Tejas Subramanya","8","0","WRIT",""
"LATN","754","Advanced Studies in the Literature of the Golden Age","15016","01","LEC","15:40","17:00","MW","4","MURK","G01","Aralere, Tejas Subramanya","8","0","WRIT",""
"LBS","904","Antitrust Law","14035","01","LEC","13:00","14:30","MW","3","UNHL","200","O'Grady, Margaret","30","0","",""
"LBS","904","Antitrust Law","15852","1LH","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","O'Grady, Margaret","90","0","",""
"LBS","907","Business Associations I","14036","01","LEC","11:00","12:30","MW","3","UNHL","200","Orcutt, John L","75","0","LBAR",""
"LBS","907","Business Associations I","14112","1LH","LEC","Hours Arranged","TBA","TBA","3","ONLINE","","Oranburg, Seth C.","50","0","LBAR",""
"LBS","932","Personal Income Taxation","14037","01","LEC","13:00","14:30","TR","3","UNHL","205","Orcutt, John L","75","0","",""
"LBS","934","Real Estate Transactions","14038","01","LEC","17:30","19:30","T","2","UNHL","205","Bedard, Biron L","30","0","",""
"LBS","942","Wills Trusts and Estates","15054","01","LEC","15:30","17:00","TR","2","UNHL","205","Gleason, Kelleigh Lynn","40","0","LBAR",""
"LBS","942","Wills Trusts and Estates","14113","1LH","LEC","Hours Arranged","TBA","TBA","2","ONLINE","","TBA","80","0","LBAR",""
