"Subj","#","Title","Comp Numb","Sec","Lec Lab","Start Time","End Time","Days","Credits","Bldg","Room","Instructor","Max Enrollment","Current Enrollment","Attr","Prerequisites"
"BCOR","1400","Exploring Biology 1","90423","A","LEC","08:30","09:20","M W F","4","","","R. Plouffe","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90127","B","LEC","09:40","10:30","M W F","4","","","R. Plouffe","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91996","C","LEC","09:40","10:30","M W F","4","","","R. Guayasamin","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90134","D","LEC","10:50","11:40","M W F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90132","E","LEC","12:00","12:50","M W F","4","","","R. Lima Cordon","0","0","N2",""
"BCOR","1400","Exploring Biology 1","93097","F","LEC","12:00","12:50","M W F","4","","","R. Guayasamin","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90744","G","LEC","13:10","14:00","M W F","4","","","R. Lima Cordon","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91598","H","LEC","13:10","14:00","M W F","4","","","K. Fatur","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90410","I","LEC","14:20","15:10","M W F","4","","",".. Staff","0","0","N2",""
"BCOR","1400","Exploring Biology 1","93244","J","LEC","14:20","15:10","M W F","4","","","R. Lima Cordon","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90407","L01","LAB","08:30","11:15","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90140","L02","LAB","08:30","11:15","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90139","L03","LAB","08:30","11:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","94314","L04","LAB","08:30","11:15","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90424","L05","LAB","08:30","11:15","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","91997","L06","LAB","08:30","11:15","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90461","L07","LAB","08:30","11:15","F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","92188","L08","LAB","08:30","11:15","F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90135","L09","LAB","12:00","14:45","W","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90142","L10","LAB","11:40","14:25","T","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90141","L11","LAB","11:40","14:25","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90485","L12","LAB","11:40","14:25","R","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90698","L13","LAB","12:00","14:45","F","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90136","L14","LAB","12:00","14:45","M","4","","","R. Petipas","0","0","N2",""
"BCOR","1400","Exploring Biology 1","90456","L15","LAB","12:00","14:45","W","4","","","R. Petipas","0","0","N2",""
